group,econ_ss_zscore,crime_vic
control,-0.186149078,0
control,-0.186149078,1
control,-0.186149078,1
control,-0.186149078,0
control,2.608599229,0
control,-2.201445926,1
control,0.203576673,1
control,0.203576673,1
control,0.203576673,1
control,0.203576673,0
control,0.203576673,0
control,0.203576673,1
control,0.203576673,0
control,0.203576673,1
control,0.203576673,0
control,0.203576673,1
control,0.203576673,0
control,0.203576673,1
control,0.203576673,1
control,0.203576673,1
control,0.203576673,1
control,0.203576673,0
control,0.203576673,0
control,0.203576673,0
control,0.203576673,1
control,0.203576673,0
control,2.26767667,0
control,-1.720211705,1
control,0.273732461,1
control,0.273732461,0
control,0.273732461,0
control,0.273732461,1
control,0.273732461,0
control,0.273732461,1
control,0.273732461,0
control,0.273732461,1
control,0.273732461,0
control,0.273732461,0
control,0.273732461,1
control,0.273732461,1
control,0.273732461,0
control,0.273732461,1
control,0.273732461,0
control,0.273732461,0
control,0.273732461,1
control,3.553404486,0
control,-2.88447659,1
control,0.334463888,0
control,0.334463888,0
control,0.334463888,1
control,0.334463888,1
control,0.334463888,1
control,0.334463888,0
control,0.334463888,0
control,0.334463888,0
control,0.334463888,0
control,0.334463888,1
control,0.334463888,0
control,0.334463888,1
control,0.334463888,0
control,0.334463888,1
control,0.334463888,1
control,2.582562911,1
control,-3.397853976,0
control,-0.407645652,1
control,-0.407645652,0
control,-0.407645652,1
control,-0.407645652,0
control,-0.407645652,1
control,-0.407645652,1
control,-0.407645652,0
control,-0.407645652,0
control,-0.407645652,1
control,-0.407645652,1
control,-0.407645652,1
control,-0.407645652,1
control,-0.407645652,0
control,-0.407645652,0
control,-0.407645652,1
control,2.653830646,0
control,-2.793334736,1
control,-0.069752142,1
control,-0.069752142,0
control,-0.069752142,0
control,-0.069752142,1
control,-0.069752142,0
control,-0.069752142,0
control,-0.069752142,1
control,-0.069752142,1
control,-0.069752142,1
control,-0.069752142,1
control,-0.069752142,0
control,-0.069752142,1
control,-0.069752142,1
control,-0.069752142,0
control,-0.069752142,0
control,-0.069752142,1
control,3.0024893,1
control,-3.33999801,0
control,-0.16875425,0
control,-0.16875425,0
control,-0.16875425,1
control,-0.16875425,0
control,-0.16875425,0
control,-0.16875425,0
control,-0.16875425,0
control,-0.16875425,1
control,-0.16875425,0
control,-0.16875425,0
control,-0.16875425,0
control,-0.16875425,0
control,-0.16875425,1
control,-0.16875425,1
control,-0.16875425,0
control,-0.16875425,1
control,4.646422733,0
control,-5.084051996,0
control,-0.218814647,0
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,0
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,0
control,-0.218814647,0
control,-0.218814647,1
control,-0.218814647,0
control,-0.218814647,1
control,8.328762759,0
control,-8.351600085,1
control,-0.01141844,0
control,-0.01141844,1
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,1
control,-0.01141844,0
control,-0.01141844,1
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,1
control,-0.01141844,1
control,-0.01141844,1
control,-0.01141844,0
control,-0.01141844,1
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,1
control,-0.01141844,1
control,-0.01141844,0
control,-0.01141844,0
control,-0.01141844,1
control,2.539240881,0
control,-2.547580717,1
control,-0.004169946,0
control,-0.004169946,1
control,-0.004169946,1
control,-0.004169946,0
control,-0.004169946,0
control,-0.004169946,1
control,-0.004169946,0
control,-0.004169946,1
control,-0.004169946,0
control,-0.004169946,0
control,-0.004169946,1
control,-0.004169946,0
control,-0.004169946,1
control,-0.004169946,0
control,-0.004169946,1
control,-0.004169946,1
control,3.158954248,0
control,-2.8375139,1
control,0.160720054,0
control,0.160720054,0
control,0.160720054,0
control,0.160720054,1
control,0.160720054,0
control,0.160720054,0
control,0.160720054,0
control,0.160720054,1
control,0.160720054,0
control,0.160720054,0
control,0.160720054,1
control,0.160720054,0
control,0.160720054,1
control,0.160720054,0
control,0.160720054,0
control,0.160720054,1
control,0.160720054,1
control,2.644236704,0
control,-2.883526911,1
control,-0.119645006,1
control,-0.119645006,1
control,-0.119645006,0
control,-0.119645006,1
control,-0.119645006,0
control,-0.119645006,0
control,-0.119645006,0
control,-0.119645006,1
control,-0.119645006,1
control,-0.119645006,1
control,-0.119645006,1
control,-0.119645006,1
control,-0.119645006,0
control,-0.119645006,0
control,-0.119645006,0
control,-0.119645006,0
control,2.373803675,1
control,-2.783125313,0
control,-0.204660804,1
control,-0.204660804,1
control,-0.204660804,1
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,1
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,1
control,-0.204660804,0
control,-0.204660804,0
control,-0.204660804,1
control,2.916197624,0
control,-2.901630615,0
control,0.007283436,1
control,0.007283436,1
control,0.007283436,0
control,0.007283436,1
control,0.007283436,0
control,0.007283436,0
control,0.007283436,1
control,0.007283436,0
control,0.007283436,1
control,0.007283436,1
control,0.007283436,0
control,0.007283436,1
control,0.007283436,1
control,0.007283436,1
control,0.007283436,0
control,0.007283436,0
control,2.922710948,0
control,-2.751960904,0
control,0.085374955,0
control,0.085374955,1
control,0.085374955,0
control,0.085374955,0
control,0.085374955,1
control,0.085374955,0
control,0.085374955,0
control,0.085374955,0
control,0.085374955,1
control,0.085374955,0
control,0.085374955,0
control,0.085374955,0
control,0.085374955,1
control,0.085374955,0
control,0.085374955,1
control,0.085374955,1
control,0.085374955,0
control,0.085374955,0
control,4.830982715,0
control,-5.427533514,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,1
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,1
control,-0.298275228,1
control,-0.298275228,1
control,-0.298275228,0
control,-0.298275228,0
control,-0.298275228,1
control,5.194033762,1
control,-4.005535298,0
control,0.594249232,1
control,0.594249232,0
control,0.594249232,1
control,0.594249232,1
control,0.594249232,0
control,0.594249232,1
control,0.594249232,1
control,0.594249232,0
control,0.594249232,0
control,0.594249232,0
control,0.594249232,1
control,0.594249232,1
control,0.594249232,0
control,0.594249232,0
control,0.594249232,0
control,0.594249232,1
control,0.594249232,0
control,9.143760389,1
control,-8.307633328,1
control,0.418063384,0
control,0.418063384,1
control,0.418063384,0
control,0.418063384,0
control,0.418063384,0
control,0.418063384,1
control,0.418063384,0
control,0.418063384,1
control,0.418063384,0
control,0.418063384,0
control,0.418063384,0
control,0.418063384,1
control,0.418063384,0
control,0.418063384,0
control,0.418063384,0
control,0.418063384,1
control,0.418063384,0
control,0.418063384,1
control,0.418063384,1
control,0.418063384,1
control,0.418063384,0
control,0.418063384,1
control,0.418063384,1
control,0.418063384,1
control,0.418063384,0
control,0.418063384,0
control,0.418063384,0
control,1.876262708,0
control,-2.115811208,1
control,-0.119774272,0
control,-0.119774272,1
control,-0.119774272,0
control,-0.119774272,1
control,-0.119774272,0
control,-0.119774272,1
control,-0.119774272,0
control,-0.119774272,1
control,-0.119774272,0
control,-0.119774272,1
control,-0.119774272,0
control,-0.119774272,0
control,-0.119774272,1
control,-0.119774272,0
control,-0.119774272,1
control,-0.119774272,0
control,1.830559208,1
control,-2.253607409,0
control,-0.211524166,0
control,-0.211524166,1
control,-0.211524166,1
control,-0.211524166,0
control,-0.211524166,1
control,-0.211524166,0
control,-0.211524166,0
control,-0.211524166,1
control,-0.211524166,0
control,-0.211524166,0
control,-0.211524166,1
control,-0.211524166,1
control,-0.211524166,0
control,-0.211524166,1
control,2.22195076,0
control,-2.766722117,1
control,-0.272385744,0
control,-0.272385744,1
control,-0.272385744,0
control,-0.272385744,0
control,-0.272385744,0
control,-0.272385744,0
control,-0.272385744,0
control,-0.272385744,0
control,-0.272385744,1
control,-0.272385744,0
control,-0.272385744,1
control,-0.272385744,0
control,-0.272385744,1
control,-0.272385744,0
control,-0.272385744,0
control,-0.272385744,0
control,1.493054441,0
control,-2.076797314,1
control,-0.29187148,0
control,-0.29187148,0
control,-0.29187148,1
control,-0.29187148,0
control,-0.29187148,0
control,-0.29187148,1
control,-0.29187148,0
control,-0.29187148,1
control,-0.29187148,1
control,-0.29187148,0
control,-0.29187148,0
control,-0.29187148,1
control,-0.29187148,1
control,-0.29187148,1
control,2.30733371,1
control,-2.462481963,0
control,-0.077574181,1
control,-0.077574181,1
control,-0.077574181,1
control,-0.077574181,1
control,-0.077574181,0
control,-0.077574181,0
control,-0.077574181,0
control,-0.077574181,0
control,-0.077574181,0
control,-0.077574181,1
control,-0.077574181,1
control,-0.077574181,1
control,-0.077574181,0
control,-0.077574181,0
control,-0.077574181,0
control,2.506204425,1
control,-2.560857503,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,1
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,1
control,-0.02732655,0
control,-0.02732655,1
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,-0.02732655,0
control,2.359422693,0
control,-2.082434568,0
control,0.138494149,1
control,0.138494149,0
control,0.138494149,1
control,0.138494149,1
control,0.138494149,0
control,0.138494149,1
control,0.138494149,0
control,0.138494149,0
control,0.138494149,0
control,0.138494149,0
control,0.138494149,0
control,0.138494149,0
control,0.138494149,0
control,0.138494149,1
control,0.138494149,0
control,0.138494149,1
control,1.995139707,0
control,-2.309184311,0
control,-0.157022258,0
control,-0.157022258,1
control,-0.157022258,1
control,-0.157022258,1
control,-0.157022258,1
control,-0.157022258,0
control,-0.157022258,1
control,-0.157022258,1
control,-0.157022258,1
control,-0.157022258,1
control,-0.157022258,0
control,-0.157022258,0
control,-0.157022258,0
control,-0.157022258,1
control,-0.157022258,0
control,-0.157022258,1
control,-0.157022258,0
control,-0.157022258,0
control,-0.157022258,0
control,-0.157022258,0
control,1.66759119,0
control,-2.21499073,0
control,-0.273699683,1
control,-0.273699683,1
control,-0.273699683,0
control,-0.273699683,1
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,1
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,-0.273699683,0
control,2.798823049,1
control,-2.993799948,0
control,-0.097488536,0
control,-0.097488536,1
control,-0.097488536,0
control,-0.097488536,0
control,-0.097488536,0
control,-0.097488536,1
control,-0.097488536,0
control,-0.097488536,1
control,-0.097488536,0
control,-0.097488536,0
control,-0.097488536,1
control,-0.097488536,1
control,-0.097488536,0
control,-0.097488536,1
control,-0.097488536,1
control,-0.097488536,0
control,-0.097488536,1
control,-0.097488536,0
control,-0.097488536,0
control,-0.097488536,1
control,-0.097488536,1
control,-0.097488536,0
control,-0.097488536,0
control,-0.097488536,0
control,3.28417553,1
control,-4.11289401,1
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,1
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,1
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,0
control,-0.41435927,0
control,2.106693833,1
control,-2.846097377,1
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,1
control,-0.369701862,1
control,-0.369701862,0
control,-0.369701862,1
control,-0.369701862,1
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,0
control,-0.369701862,1
control,-0.369701862,0
control,3.034407019,0
control,-2.84095449,0
control,0.09672628,0
control,0.09672628,0
control,0.09672628,0
control,0.09672628,1
control,0.09672628,0
control,0.09672628,0
control,0.09672628,0
control,0.09672628,0
control,0.09672628,1
control,0.09672628,1
control,0.09672628,0
control,0.09672628,0
control,0.09672628,1
control,0.09672628,1
control,0.09672628,0
control,3.545501048,1
control,-3.962591105,0
control,-0.208544949,1
control,-0.208544949,1
control,-0.208544949,1
control,-0.208544949,0
control,-0.208544949,1
control,-0.208544949,1
control,-0.208544949,0
control,-0.208544949,1
control,-0.208544949,0
control,-0.208544949,1
control,-0.208544949,1
control,-0.208544949,0
control,-0.208544949,0
control,-0.208544949,1
control,-0.208544949,0
control,-0.208544949,0
control,-0.208544949,0
control,3.425240557,0
control,-4.536197623,0
control,-0.555478405,0
control,-0.555478405,1
control,-0.555478405,1
control,-0.555478405,1
control,-0.555478405,0
control,-0.555478405,0
control,-0.555478405,0
control,-0.555478405,0
control,-0.555478405,1
control,-0.555478405,0
control,-0.555478405,1
control,-0.555478405,0
control,-0.555478405,0
control,-0.555478405,0
control,-0.555478405,0
control,-0.555478405,0
control,-0.555478405,1
control,-0.555478405,0
control,6.027513892,0
control,-4.748875388,1
control,0.639319059,1
control,0.639319059,0
control,0.639319059,1
control,0.639319059,0
control,0.639319059,0
control,0.639319059,0
control,0.639319059,0
control,0.639319059,1
control,0.639319059,0
control,0.639319059,0
control,0.639319059,0
control,0.639319059,1
control,2.116833876,1
control,-2.902802069,1
control,-0.392984125,1
control,-0.392984125,1
control,-0.392984125,0
control,-0.392984125,1
control,-0.392984125,1
control,-0.392984125,1
control,-0.392984125,0
control,-0.392984125,0
control,-0.392984125,0
control,-0.392984125,1
control,-0.392984125,1
control,-0.392984125,1
control,-0.392984125,1
control,-0.392984125,1
control,-0.392984125,0
control,-0.392984125,0
control,3.059427262,0
control,-3.328060512,0
control,-0.134316731,0
control,-0.134316731,0
control,-0.134316731,1
control,-0.134316731,0
control,-0.134316731,0
control,-0.134316731,0
control,-0.134316731,0
control,-0.134316731,1
control,-0.134316731,1
control,-0.134316731,0
control,-0.134316731,0
control,-0.134316731,0
control,-0.134316731,1
control,-0.134316731,0
control,-0.134316731,1
control,2.415587368,0
control,-2.645028508,1
control,-0.114720638,0
control,-0.114720638,0
control,-0.114720638,0
control,-0.114720638,0
control,-0.114720638,1
control,-0.114720638,1
control,-0.114720638,0
control,-0.114720638,0
control,-0.114720638,0
control,-0.114720638,0
control,-0.114720638,1
control,-0.114720638,0
control,-0.114720638,0
control,-0.114720638,1
control,-0.114720638,1
control,-0.114720638,0
control,-0.114720638,1
control,3.99472742,0
control,-3.898954637,1
control,0.047886309,0
control,0.047886309,0
control,0.047886309,1
control,0.047886309,0
control,0.047886309,0
control,0.047886309,1
control,0.047886309,0
control,0.047886309,1
control,0.047886309,1
control,0.047886309,1
control,0.047886309,0
control,0.047886309,1
control,0.047886309,0
control,0.047886309,1
control,0.047886309,0
control,0.047886309,0
control,0.047886309,0
control,0.047886309,0
control,0.047886309,1
control,0.047886309,1
control,0.047886309,0
control,0.047886309,0
control,0.047886309,0
control,0.047886309,1
control,0.047886309,1
control,0.047886309,1
control,0.047886309,0
control,0.047886309,0
control,0.047886309,0
control,3.893895667,0
control,-3.66968062,0
control,0.112107634,0
control,0.112107634,0
control,0.112107634,0
control,0.112107634,0
control,0.112107634,1
control,0.112107634,0
control,0.112107634,0
control,0.112107634,1
control,0.112107634,0
control,0.112107634,0
control,0.112107634,0
control,0.112107634,1
control,0.112107634,0
control,0.112107634,0
control,0.112107634,0
control,0.112107634,1
control,0.112107634,0
control,0.112107634,1
control,0.112107634,0
control,0.112107634,0
control,0.112107634,1
control,0.112107634,1
control,4.244372064,1
control,-3.527929064,0
control,0.3582215,1
control,0.3582215,1
control,0.3582215,0
control,0.3582215,0
control,0.3582215,0
control,0.3582215,0
control,0.3582215,0
control,0.3582215,0
control,0.3582215,1
control,0.3582215,1
control,0.3582215,0
control,0.3582215,0
control,0.3582215,0
control,0.3582215,1
control,0.3582215,1
control,0.3582215,0
control,0.3582215,1
control,0.3582215,0
control,4.158310673,1
control,-4.509390948,0
control,-0.17554023,1
control,-0.17554023,0
control,-0.17554023,1
control,-0.17554023,0
control,-0.17554023,0
control,-0.17554023,0
control,-0.17554023,0
control,-0.17554023,1
control,-0.17554023,1
control,-0.17554023,0
control,-0.17554023,1
control,-0.17554023,1
control,-0.17554023,0
control,-0.17554023,1
control,-0.17554023,0
control,-0.17554023,0
control,-0.17554023,1
control,-0.17554023,0
control,-0.17554023,0
control,-0.17554023,1
control,-0.17554023,0
control,2.887134017,0
control,-3.337013772,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,1
control,-0.224939841,0
control,-0.224939841,1
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,0
control,-0.224939841,1
control,4.036577084,1
control,-2.782836203,0
control,0.626870441,0
control,0.626870441,1
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,0
control,0.626870441,1
control,0.626870441,0
control,4.090414609,1
control,-3.800286238,0
control,0.145064195,0
control,0.145064195,0
control,0.145064195,0
control,0.145064195,0
control,0.145064195,1
control,0.145064195,0
control,0.145064195,0
control,0.145064195,0
control,0.145064195,1
control,0.145064195,0
control,0.145064195,1
control,0.145064195,1
control,0.145064195,0
control,0.145064195,0
control,0.145064195,0
control,0.145064195,0
control,0.145064195,1
control,0.145064195,0
control,6.816068076,1
control,-6.297715449,0
control,0.259176344,1
control,0.259176344,0
control,0.259176344,0
control,0.259176344,1
control,0.259176344,0
control,0.259176344,1
control,0.259176344,0
control,0.259176344,0
control,0.259176344,0
control,0.259176344,0
control,0.259176344,0
control,0.259176344,1
control,0.259176344,1
control,0.259176344,0
control,0.259176344,0
control,0.259176344,0
control,0.259176344,1
control,0.259176344,1
control,0.259176344,0
control,0.259176344,1
control,0.259176344,0
lpv,2.277319839,1
lpv,-2.517491093,0
lpv,-0.12008558,1
lpv,-0.12008558,1
lpv,-0.12008558,1
lpv,-0.12008558,1
lpv,-0.12008558,1
lpv,-0.12008558,1
lpv,-0.12008558,0
lpv,-0.12008558,0
lpv,-0.12008558,0
lpv,-0.12008558,1
lpv,-0.12008558,1
lpv,-0.12008558,1
lpv,-0.12008558,0
lpv,-0.12008558,0
lpv,-0.12008558,0
lpv,2.545630231,0
lpv,-2.665093062,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,1
lpv,-0.059731404,0
lpv,-0.059731404,0
lpv,-0.059731404,1
lpv,-0.059731404,0
lpv,2.292138161,0
lpv,-2.459026798,0
lpv,-0.083444301,1
lpv,-0.083444301,0
lpv,-0.083444301,0
lpv,-0.083444301,1
lpv,-0.083444301,1
lpv,-0.083444301,1
lpv,-0.083444301,1
lpv,-0.083444301,1
lpv,-0.083444301,0
lpv,-0.083444301,1
lpv,-0.083444301,1
lpv,-0.083444301,0
lpv,-0.083444301,1
lpv,-0.083444301,0
lpv,-0.083444301,1
lpv,-0.083444301,0
lpv,-0.083444301,1
lpv,2.042770369,1
lpv,-1.722909136,0
lpv,0.159930557,0
lpv,0.159930557,1
lpv,0.159930557,1
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,1
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,0.159930557,0
lpv,2.475431381,1
lpv,-2.121591303,0
lpv,0.17691998,0
lpv,0.17691998,0
lpv,0.17691998,0
lpv,0.17691998,0
lpv,0.17691998,0
lpv,0.17691998,1
lpv,0.17691998,0
lpv,0.17691998,1
lpv,0.17691998,0
lpv,0.17691998,1
lpv,0.17691998,1
lpv,0.17691998,0
lpv,0.17691998,0
lpv,0.17691998,0
lpv,2.104108629,0
lpv,-1.936328287,0
lpv,0.083890142,0
lpv,0.083890142,1
lpv,0.083890142,1
lpv,0.083890142,1
lpv,0.083890142,1
lpv,0.083890142,0
lpv,0.083890142,1
lpv,0.083890142,0
lpv,0.083890142,1
lpv,0.083890142,0
lpv,0.083890142,1
lpv,0.083890142,0
lpv,1.984027912,0
lpv,-2.024320453,1
lpv,-0.020146179,1
lpv,-0.020146179,1
lpv,-0.020146179,1
lpv,-0.020146179,1
lpv,-0.020146179,1
lpv,-0.020146179,1
lpv,-0.020146179,1
lpv,-0.020146179,0
lpv,-0.020146179,1
lpv,-0.020146179,0
lpv,-0.020146179,1
lpv,-0.020146179,1
lpv,2.235809653,0
lpv,-2.294858221,1
lpv,-0.029524358,1
lpv,-0.029524358,1
lpv,-0.029524358,0
lpv,-0.029524358,1
lpv,-0.029524358,0
lpv,-0.029524358,0
lpv,-0.029524358,1
lpv,-0.029524358,0
lpv,-0.029524358,0
lpv,-0.029524358,1
lpv,-0.029524358,0
lpv,-0.029524358,0
lpv,-0.029524358,1
lpv,-0.029524358,0
lpv,-0.029524358,1
lpv,-0.029524358,0
lpv,-0.029524358,0
lpv,-0.029524358,1
lpv,2.414023627,0
lpv,-2.635014719,1
lpv,-0.110495558,0
lpv,-0.110495558,0
lpv,-0.110495558,1
lpv,-0.110495558,1
lpv,-0.110495558,0
lpv,-0.110495558,1
lpv,-0.110495558,0
lpv,-0.110495558,0
lpv,-0.110495558,0
lpv,-0.110495558,0
lpv,-0.110495558,1
lpv,-0.110495558,1
lpv,-0.110495558,0
lpv,-0.110495558,0
lpv,-0.110495558,1
lpv,-0.110495558,1
lpv,-0.110495558,0
